84    56
84    168
84    258
84    369
84    474
84    572
188    56
188    168
188    258
188    369
188    474
188    572
299    56
299    168
299    258
299    369
299    474
299    572
407    56
407    168
407    258
407    369
407    474
407    572
115    82    68
194    150    130
98    122    157
87    108    67
133    128    177
103    189    170
214    126    44
80    91    166
193    90    99
94    60    108
157    188    64
224    163    46
56    61    150
70    148    73
175    54    60
231    199    31
187    86    149
8    133    161
243    243    242
200    200    200
160    160    160
122    122    121
85    85    85
52    52    52
